,Date,Nom de l'activité,Description
0,27 Juin 2022/04 Sep 2022,Exposition | À Tire d’Aile,"Exposition en plein air sur la digue, place du 28 juillet et devant l’espace culturel. Rendez-vous au vernissage de l’exposition samedi 2 juillet à 18h30 sur le promenoir près de la Plancha. ..."
1,29 Juin 2022/27 Juil 2022,Circuit en vélo électrique,"Tous les mercredis. Visites guidées à vélo électrique, découverte du patrimoine et dégustation des produits régionaux."
2,30 Juin 2022/01 Sep 2022,Balade en fatbike,Découverte de notre petit patrimoine.
3,04 Juil 2022/02 Sep 2022,Petit Musée du Littoral et de la mer,"Thèmes des expositions 2022: 1. Les ingénieuses de notre côte: hermelles, lanices, zostères 2. La laisse de mer: trésor marin menacé… 3. La pêche à pied: réglementation, outils à ..."
4,04 Juil 2022/08 Juil 2022,Réveil musculaire,"Du 4 juillet au 26 août, du lundi au vendredi. Gymnastique et détente musculaire. Accessible à tous niveaux. Pensez à prendre quelques affaires : Short/jogging Tapis de gym/serviette Gourde/ ..."
5,05 Juil 2022,À bicyclette,"19h : La Brise, parcours sonore à vélo (durée : env. 30 min) Rendez-vous à la cale du Passous. La Brise vous invite à suivre des yeux et des oreilles une caravane de cyclistes rejouant une ..."
6,05 Juil 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
7,07 Juil 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
8,08 Juil 2022,Bal," JAZZ SOUS LES POMMIERS propose: Un BAL à la mare de l’Essay le vendredi 08 juillet , au programme : Bal Ne dites pas non vous allez danser 19h30 Radio Bicyclette – 20h30 Bal (1h) Lieu de ..."
9,10 Juil 2022,Vide grenier,Déballage réservé aux particuliers.
10,11 Juil 2022,Tournoi d’échecs,Tournoi adultes : 10h-12h Tournoi enfants : 14h-16h
11,11 Juil 2022/15 Juil 2022,Réveil musculaire,"Du 4 juillet au 26 août, du lundi au vendredi. Gymnastique et détente musculaire. Accessible à tous niveaux. Pensez à prendre quelques affaires : Short/jogging Tapis de gym/serviette Gourde/ ..."
12,12 Juil 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
13,12 Juil 2022,Découverte du Tir à l’arc,
14,12 Juil 2022,Concours de châteaux de sable,Plusieurs catégories représentées ! À partir de 4 ans. Inscriptions sur place.
15,12 Juil 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
