,Date,Coeff1,Coeff2,first_high_tide,second_high_tide,first_low_tide,second_low_tide
0,samedi 1,36,42,05h15,17h57,12h20,00h43
1,dimanche 2,49,55,06h07,18h37,13h13,01h30
2,lundi 3,61,67,06h47,19h13,13h56,02h11
3,mardi 4,73,78,07h23,19h47,14h35,02h50
4,mercredi 5,82,86,07h58,20h21,15h12,03h26
5,jeudi 6,88,91,08h32,20h53,15h47,04h00
6,vendredi 7,92,93,09h04,21h23,16h19,04h31
7,samedi 8,92,91,09h35,21h53,16h48,05h02
8,dimanche 9,89,85,10h06,22h22,17h17,05h31
9,lundi 10,81,76,10h36,22h53,17h44,06h02
10,mardi 11,70,63,11h12,23h28,18h15,06h38
11,mercredi 12,57,50,11h52,00h13,18h52,07h26
12,jeudi 13,44,40,12h51,01h29,19h51,08h44
13,vendredi 14,39,42,14h38,03h31,21h34,10h37
14,samedi 15,48,56,16h30,05h03,23h21,12h07
15,dimanche 16,64,72,17h44,06h06,00h43,13h15
16,lundi 17,80,87,18h37,06h57,01h44,14h12
17,mardi 18,92,97,19h24,07h43,02h38,15h03
18,mercredi 19,100,101,20h05,08h24,03h24,15h45
19,jeudi 20,102,101,20h44,09h03,04h03,16h20
20,vendredi 21,99,95,21h19,09h39,04h37,16h51
21,samedi 22,91,86,21h52,10h11,05h07,17h18
22,dimanche 23,80,74,22h22,10h42,05h33,17h44
23,lundi 24,67,60,22h49,11h12,05h58,18h08
24,mardi 25,53,46,23h18,11h45,06h25,18h37
25,mercredi 26,40,34,23h56,12h29,07h00,19h19
26,jeudi 27,29,27,00h48,13h56,07h57,20h36
27,vendredi 28,27,29,02h33,15h52,09h44,22h29
