,Date,Coeff1,first_high_tide,first_low_tide,Coeff2,second_high_tide,second_low_tide
0,jeudi 1,54,00h36,07h38,53,13h11,20h18
1,vendredi 2,53,01h54,08h54,55,14h29,21h31
2,samedi 3,57,03h09,10h09,60,15h39,22h37
3,dimanche 4,63,04h11,11h14,67,16h36,23h35
4,lundi 5,70,05h02,12h09,72,17h25,00h32
5,mardi 6,75,05h47,12h57,76,18h10,01h16
6,mercredi 7,78,06h28,13h39,78,18h51,01h55
7,jeudi 8,79,07h05,14h17,78,19h28,02h29
8,vendredi 9,78,07h40,14h52,77,20h03,03h03
9,samedi 10,75,08h12,15h25,73,20h36,03h35
10,dimanche 11,71,08h43,15h57,68,21h08,04h06
11,lundi 12,65,09h16,16h28,61,21h41,04h37
12,mardi 13,58,09h50,16h59,54,22h17,05h10
13,mercredi 14,51,10h27,17h34,47,22h57,05h47
14,jeudi 15,44,11h10,18h16,42,23h46,06h36
15,vendredi 16,40,12h04,19h08,40,00h50,07h36
16,samedi 17,40,13h14,20h12,42,02h05,08h47
17,dimanche 18,45,14h28,21h24,49,03h13,10h02
18,lundi 19,53,15h35,22h34,59,04h13,11h09
19,mardi 20,64,16h35,23h36,70,05h07,12h10
20,mercredi 21,75,17h30,00h39,80,05h58,13h07
21,jeudi 22,85,18h22,01h34,89,06h47,14h03
22,vendredi 23,92,19h14,02h27,95,07h36,14h56
23,samedi 24,96,20h04,03h14,97,08h25,15h48
24,dimanche 25,96,20h54,04h07,95,09h13,16h35
25,lundi 26,92,21h42,04h53,89,10h02,17h21
26,mardi 27,84,22h31,05h39,80,10h50,18h08
27,mercredi 28,75,23h19,06h25,69,11h40,18h54
28,jeudi 29,64,00h09,07h14,60,12h35,19h44
29,vendredi 30,56,01h05,08h08,53,13h37,20h39
