,Date,Coeff1,Coeff2,first_high_tide,second_high_tide,first_low_tide,second_low_tide
0,mercredi 1,40,43,03h53,16h38,10h56,23h20
1,jeudi 2,47,52,05h03,17h38,12h07,00h27
2,vendredi 3,56,61,05h55,18h25,13h00,01h18
3,samedi 4,65,69,06h37,19h05,13h46,02h01
4,dimanche 5,72,75,07h15,19h41,14h26,02h39
5,lundi 6,78,80,07h49,20h14,15h04,03h14
6,mardi 7,81,82,08h21,20h45,15h37,03h47
7,mercredi 8,82,82,08h52,21h15,16h08,04h17
8,jeudi 9,81,80,09h23,21h44,16h36,04h45
9,vendredi 10,78,75,09h52,22h13,17h03,05h13
10,samedi 11,72,68,10h22,22h41,17h30,05h42
11,dimanche 12,63,59,10h53,23h13,18h00,06h17
12,lundi 13,54,49,11h29,23h54,18h37,07h02
13,mardi 14,45,41,12h21,00h58,19h29,08h09
14,mercredi 15,40,42,13h45,02h42,20h52,09h52
15,jeudi 16,46,52,15h36,04h23,22h35,11h24
16,vendredi 17,60,69,17h04,05h36,23h57,12h40
17,samedi 18,77,86,18h09,06h34,01h14,13h46
18,dimanche 19,93,100,19h04,07h24,02h15,14h45
19,lundi 20,105,109,19h52,08h11,03h08,15h35
20,mardi 21,111,112,20h36,08h54,03h53,16h17
21,mercredi 22,110,107,21h16,09h33,04h33,16h54
22,jeudi 23,103,97,21h53,10h10,05h07,17h26
23,vendredi 24,90,82,22h27,10h43,05h37,17h54
24,samedi 25,73,65,22h58,11h16,06h04,18h21
25,dimanche 26,56,47,23h29,11h52,06h33,18h52
