,Date,Coeff1,first_high_tide,first_low_tide,Coeff2,second_high_tide,second_low_tide
0,dimanche 1,51,02h12,09h14,50,14h48,21h43
1,lundi 2,51,03h22,10h25,52,15h57,22h49
2,mardi 3,54,04h26,11h30,57,16h57,23h49
3,mercredi 4,59,05h21,12h26,62,17h49,00h46
4,jeudi 5,65,06h07,13h16,67,18h35,01h31
5,vendredi 6,69,06h49,13h58,71,19h16,02h11
6,samedi 7,73,07h26,14h36,74,19h53,02h49
7,dimanche 8,74,08h01,15h14,74,20h27,03h25
8,lundi 9,74,08h34,15h48,74,20h59,03h58
9,mardi 10,73,09h06,16h20,71,21h31,04h29
10,mercredi 11,69,09h39,16h50,67,22h04,05h00
11,jeudi 12,65,10h11,17h21,62,22h37,05h32
12,vendredi 13,59,10h47,17h53,56,23h12,06h08
13,samedi 14,53,11h24,18h31,50,23h52,06h50
14,dimanche 15,47,12h11,19h17,45,00h47,07h45
15,lundi 16,44,13h15,20h17,44,02h01,08h59
16,mardi 17,46,14h37,21h38,49,03h22,10h25
17,mercredi 18,54,15h56,22h59,59,04h36,11h40
18,jeudi 19,66,17h08,00h08,72,05h41,12h48
19,vendredi 20,79,18h12,01h20,85,06h39,13h51
20,samedi 21,91,19h09,02h20,96,07h32,14h52
21,dimanche 22,100,20h01,03h16,103,08h21,15h45
22,lundi 23,105,20h50,04h05,105,09h08,16h31
23,mardi 24,103,21h35,04h48,101,09h52,17h14
24,mercredi 25,97,22h17,05h28,91,10h34,17h52
25,jeudi 26,85,22h56,06h05,78,11h14,18h27
26,vendredi 27,71,23h35,06h41,64,11h55,19h03
27,samedi 28,57,00h16,07h19,50,12h42,19h45
28,dimanche 29,45,01h08,08h11,40,13h47,20h41
