,Date,Coeff1,Coeff2,first_high_tide,second_high_tide,first_low_tide,second_low_tide
0,jeudi 7,52,50,00h55,13h29,07h58,20h22
1,vendredi 8,49,49,01h52,14h32,08h54,21h28
2,samedi 9,50,52,03h01,15h44,10h06,22h44
3,dimanche 10,56,60,04h14,16h56,11h24,23h57
4,lundi 11,64,69,05h25,18h02,12h38,01h11
5,mardi 12,75,80,06h31,19h04,13h44,02h16
6,mercredi 13,85,89,07h33,20h00,14h47,03h18
7,jeudi 14,93,95,08h30,20h53,15h45,04h14
8,vendredi 15,97,98,09h23,21h43,16h36,05h03
9,samedi 16,97,96,10h11,22h30,17h23,05h49
10,dimanche 17,93,89,10h57,23h14,18h06,06h31
11,lundi 18,85,79,11h39,23h56,18h46,07h09
12,mardi 19,74,67,12h19,00h37,19h23,07h45
13,mercredi 20,62,56,13h00,01h21,20h01,08h24
14,jeudi 21,51,46,13h45,02h15,20h45,09h14
15,vendredi 22,43,41,14h43,03h24,21h45,10h18
16,samedi 23,41,42,15h59,04h42,22h59,11h33
17,dimanche 24,44,47,17h13,05h50,00h11,12h42
18,lundi 25,50,54,18h13,06h44,01h18,13h37
19,mardi 26,57,61,19h02,07h29,02h08,14h25
20,mercredi 27,64,67,19h43,08h09,02h52,15h07
21,jeudi 28,69,72,20h21,08h46,03h32,15h46
22,vendredi 29,74,75,20h55,09h20,04h08,16h20
23,samedi 30,76,77,21h29,09h54,04h43,16h54
