,Date,Coeff1,Coeff2,first_high_tide,second_high_tide,first_low_tide,second_low_tide
0,jeudi 1,61,66,05h50,18h21,00h28,12h56
1,vendredi 2,71,75,06h38,19h04,01h20,13h47
2,samedi 3,79,82,07h23,19h46,02h10,14h35
3,dimanche 4,84,86,08h07,20h28,02h59,15h22
4,lundi 5,87,88,08h51,21h11,03h45,16h05
5,mardi 6,87,86,09h36,21h55,04h29,16h47
6,mercredi 7,84,81,10h23,22h42,05h13,17h30
7,jeudi 8,77,73,11h12,23h33,05h58,18h16
8,vendredi 9,70,66,12h05,00h28,06h46,19h06
9,samedi 10,63,60,13h02,01h30,07h40,20h03
10,dimanche 11,58,57,14h07,02h38,08h39,21h08
11,lundi 12,57,58,15h17,03h48,09h46,22h18
12,mardi 13,60,62,16h25,04h54,10h54,23h25
13,mercredi 14,64,66,17h26,05h52,12h00,00h34
14,jeudi 15,68,70,18h19,06h45,13h00,01h30
15,vendredi 16,71,72,19h06,07h32,13h52,02h20
16,samedi 17,73,74,19h49,08h15,14h39,03h03
17,dimanche 18,74,74,20h28,08h54,15h18,03h42
18,lundi 19,73,72,21h05,09h31,15h54,04h17
19,mardi 20,70,69,21h39,10h06,16h28,04h50
20,mercredi 21,66,64,22h13,10h40,17h01,05h23
21,jeudi 22,61,58,22h47,11h15,17h34,05h55
22,vendredi 23,56,53,23h23,11h52,18h06,06h28
23,samedi 24,50,47,00h01,12h32,18h40,07h03
24,dimanche 25,45,43,00h46,13h21,19h18,07h45
25,lundi 26,42,41,01h39,14h21,20h07,08h36
26,mardi 27,42,43,02h45,15h29,21h06,09h41
27,mercredi 28,46,49,03h53,16h35,22h16,10h53
