,Date,Coeff1,first_high_tide,first_low_tide,Coeff2,second_high_tide,second_low_tide
0,lundi 1,45,05h13,12h18,51,17h49,00h39
1,mardi 2,57,06h00,13h05,63,18h29,01h24
2,mercredi 3,68,06h41,13h49,73,19h07,02h07
3,jeudi 4,78,07h20,14h31,82,19h44,02h49
4,vendredi 5,85,07h58,15h12,88,20h19,03h29
5,samedi 6,90,08h34,15h49,90,20h53,04h07
6,dimanche 7,90,09h10,16h23,90,21h28,04h43
7,lundi 8,88,09h46,16h57,85,22h04,05h18
8,mardi 9,81,10h25,17h32,76,22h43,05h56
9,mercredi 10,71,11h06,18h10,65,23h27,06h39
10,jeudi 11,60,11h57,18h57,54,00h24,07h34
11,vendredi 12,51,13h05,20h02,48,01h41,08h50
12,samedi 13,48,14h33,21h31,50,03h12,10h19
13,dimanche 14,54,16h01,22h56,59,04h31,11h37
14,lundi 15,64,17h10,00h05,70,05h34,12h42
15,mardi 16,74,18h05,01h11,79,06h26,13h39
16,mercredi 17,82,18h52,02h05,85,07h13,14h28
17,jeudi 18,86,19h35,02h52,87,07h56,15h12
18,vendredi 19,87,20h14,03h32,87,08h36,15h48
19,samedi 20,85,20h50,04h07,83,09h12,16h19
20,dimanche 21,80,21h24,04h38,77,09h47,16h48
21,lundi 22,73,21h56,05h08,69,10h20,17h18
22,mardi 23,65,22h27,05h38,60,10h53,17h47
23,mercredi 24,55,23h01,06h09,50,11h30,18h20
24,jeudi 25,46,23h37,06h44,41,12h13,19h00
25,vendredi 26,38,00h26,07h29,35,13h11,19h54
26,samedi 27,34,01h33,08h32,34,14h27,21h07
27,dimanche 28,35,02h51,09h51,38,15h42,22h24
28,lundi 29,42,04h01,11h02,46,16h44,23h27
