,Date,Coeff1,first_high_tide,first_low_tide,Coeff2,second_high_tide,second_low_tide
0,mercredi 1,28,01h15,08h29,28,14h36,21h15
1,jeudi 2,30,03h22,10h29,34,16h25,23h00
2,vendredi 3,40,04h47,11h50,46,17h26,00h06
3,samedi 4,52,05h38,12h44,58,18h08,01h00
4,dimanche 5,64,06h19,13h28,69,18h45,01h42
5,lundi 6,74,06h55,14h07,78,19h19,02h20
6,mardi 7,81,07h28,14h44,85,19h51,02h55
7,mercredi 8,87,08h01,15h17,89,20h22,03h28
8,jeudi 9,90,08h31,15h47,90,20h51,03h57
9,vendredi 10,90,09h01,16h15,88,21h20,04h25
10,samedi 11,86,09h29,16h41,83,21h47,04h52
11,dimanche 12,79,09h58,17h06,74,22h14,05h20
12,lundi 13,69,10h28,17h34,63,22h44,05h52
13,mardi 14,57,11h03,18h08,50,23h23,06h35
14,mercredi 15,44,11h52,18h59,39,00h25,07h45
15,jeudi 16,37,13h25,20h30,38,02h31,09h38
16,vendredi 17,43,15h37,22h28,51,04h19,11h18
17,samedi 18,60,17h01,23h52,70,05h27,12h33
18,dimanche 19,79,18h00,01h04,88,06h21,13h34
19,lundi 20,95,18h49,02h01,102,07h08,14h27
20,mardi 21,106,19h33,02h50,109,07h51,15h14
21,mercredi 22,111,20h13,03h33,110,08h31,15h53
22,jeudi 23,108,20h50,04h09,105,09h07,16h26
23,vendredi 24,100,21h23,04h40,94,09h41,16h54
24,samedi 25,87,21h54,06h04,79,11h11,18h17
25,dimanche 26,71,23h22,06h27,63,11h40,18h40
26,lundi 27,54,23h49,06h52,46,12h12,19h07
27,mardi 28,38,00h24,07h27,31,12h56,19h51
28,mercredi 29,26,01h18,08h36,24,14h50,21h27
