,Date,Coeff1,Coeff2,first_high_tide,second_high_tide,first_low_tide,second_low_tide
0,mardi 1,47,45,11h56,00h48,06h24,19h10
1,mercredi 2,45,48,13h35,02h30,07h45,20h41
2,jeudi 3,53,59,15h10,03h52,09h28,22h10
3,vendredi 4,65,71,16h18,04h49,10h51,23h17
4,samedi 5,77,82,17h10,05h36,11h54,00h12
5,dimanche 6,86,88,17h56,06h17,12h45,01h07
6,lundi 7,90,91,18h37,06h55,13h31,01h50
7,mardi 8,91,90,19h15,07h31,14h12,02h27
8,mercredi 9,89,87,19h50,08h03,14h47,02h59
9,jeudi 10,84,80,20h22,08h32,15h18,03h28
10,vendredi 11,76,71,20h52,09h01,15h46,03h55
11,samedi 12,66,61,21h21,09h30,16h13,04h20
12,dimanche 13,55,50,21h52,10h00,16h39,04h48
13,lundi 14,44,39,22h26,10h37,17h07,05h18
14,mardi 15,35,31,23h11,11h30,17h43,06h02
15,mercredi 16,30,30,00h30,13h02,18h37,07h11
16,jeudi 17,32,36,02h11,14h34,19h59,08h44
17,vendredi 18,42,48,03h23,15h40,21h31,10h05
18,samedi 19,54,60,04h17,16h32,22h37,11h05
19,dimanche 20,67,73,05h02,17h18,23h29,11h57
20,lundi 21,79,84,05h45,18h03,00h18,12h47
21,mardi 22,88,92,06h26,18h46,01h14,13h36
22,mercredi 23,94,96,07h07,19h28,02h00,14h23
23,jeudi 24,97,96,07h48,20h11,02h45,15h08
24,vendredi 25,94,91,08h30,20h55,03h28,15h51
25,samedi 26,88,83,09h14,21h42,04h08,16h34
26,dimanche 27,78,72,10h01,22h32,04h50,17h19
27,lundi 28,66,62,10h54,23h29,05h37,18h11
