,Date,Coeff1,first_high_tide,first_low_tide,Coeff2,second_high_tide,second_low_tide
0,jeudi 1,79,11h06,05h57,75,23h18,18h09
1,vendredi 2,70,11h37,06h25,65,23h53,18h41
2,samedi 3,59,12h14,06h58,53,00h37,19h18
3,dimanche 4,47,13h04,07h40,43,01h44,20h14
4,lundi 5,41,14h32,08h46,42,03h33,21h45
5,mardi 6,47,16h29,10h36,53,05h16,23h29
6,mercredi 7,62,17h53,12h16,70,06h28,00h56
7,jeudi 8,79,18h54,13h31,86,07h23,02h04
8,vendredi 9,93,19h44,14h34,98,08h10,03h01
9,samedi 10,102,20h29,15h27,104,08h53,03h50
10,dimanche 11,105,21h10,16h11,105,09h32,04h31
11,lundi 12,103,21h48,16h48,100,10h07,05h07
12,mardi 13,95,22h22,17h21,90,10h38,05h36
13,mercredi 14,84,22h53,17h48,77,11h07,06h01
14,jeudi 15,69,23h22,18h12,62,11h34,06h22
15,vendredi 16,54,23h49,18h33,46,12h02,06h44
16,samedi 17,39,00h21,18h57,32,12h38,07h14
17,dimanche 18,27,01h15,19h37,24,13h53,08h08
18,lundi 19,25,03h34,21h03,28,16h14,10h09
19,mardi 20,34,05h13,23h22,40,17h31,11h58
20,mercredi 21,47,06h06,00h41,54,18h19,12h56
21,jeudi 22,60,06h46,01h26,67,18h58,13h41
22,vendredi 23,73,07h23,02h07,78,19h35,14h23
23,samedi 24,83,07h58,02h48,87,20h11,15h03
24,dimanche 25,90,08h33,03h26,93,20h45,15h41
25,lundi 26,95,09h06,04h01,95,21h18,16h15
26,mardi 27,95,09h38,04h34,94,21h51,16h48
27,mercredi 28,92,10h09,05h05,88,22h23,17h19
28,jeudi 29,84,10h40,05h35,78,22h57,17h49
